2018-05-149 15:05:189 INFO  BankAppDriver:45 - usernameM: rafael
2018-05-149 15:05:205 INFO  BankAppDriver:56 - accountExists: true

2018-05-149 15:05:205 INFO  BankAppDriver:114 - Username: rafael
2018-05-149 15:05:205 INFO  BankAppDriver:115 - access level: null
2018-05-149 15:05:205 INFO  BankAppDriver:212 - Begin Deserialization - DeserializeCustomer(): 
2018-05-149 15:05:205 INFO  BankAppDriver:215 - Customer reference is set to null. c = (cParamD = null)
2018-05-149 15:05:345 INFO  BankAppDriver:226 - Check Object Read From .ser File - cParamD: 
2018-05-149 15:05:345 INFO  BankAppDriver:227 - username: rafael
2018-05-149 15:05:345 INFO  BankAppDriver:228 - firstName: Bank
2018-05-149 15:05:345 INFO  BankAppDriver:229 - lastName: Employee
2018-05-149 15:05:345 INFO  BankAppDriver:230 - address1: 123 ABC St
2018-05-149 15:05:345 INFO  BankAppDriver:231 - address2: Apt 1234
2018-05-149 15:05:345 INFO  BankAppDriver:232 - city: Dallas
2018-05-149 15:05:345 INFO  BankAppDriver:233 - state: TX
2018-05-149 15:05:345 INFO  BankAppDriver:234 - phoneNumber: 1234567890
2018-05-149 15:05:345 INFO  BankAppDriver:235 - email: bankadmin@gmail.com
2018-05-149 15:05:345 INFO  BankAppDriver:236 - accessLevel: customer
2018-05-149 15:05:345 INFO  BankAppDriver:245 - End Deserialization - DeserializeCustomer() 

2018-05-149 15:05:345 INFO  BankAppDriver:269 - accessLvel: customer
2018-05-149 15:05:345 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-149 15:05:345 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-149 15:05:361 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-149 15:05:361 INFO  BankAppDriver:70 - balance: 18.00
2018-05-149 15:05:361 INFO  BankAppDriver:85 - End Deserialization - View Balance() 

2018-05-149 15:05:361 INFO  BankAppDriver:89 - Begin Deposit(): 
2018-05-149 15:05:361 INFO  BankAppDriver:93 - Deposit Amount: 5.00
2018-05-149 15:05:361 INFO  BankAppDriver:103 - Before Depositing, Balance = 18.00
2018-05-149 15:05:361 INFO  BankAppDriver:109 - After Depositing, Balance = 23.00
2018-05-149 15:05:361 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-149 15:05:361 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accrafael.ser
2018-05-149 15:05:361 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-149 15:05:376 INFO  BankAppDriver:41 - balance: 23.00
2018-05-149 15:05:376 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 

2018-05-149 15:05:376 INFO  BankAppDriver:128 - End Deposit() 

2018-05-149 15:05:376 INFO  BankAppDriver:132 - Begin Withdraw(): 
2018-05-149 15:05:376 INFO  BankAppDriver:136 - Withdraw Amount: 1.00
2018-05-149 15:05:376 INFO  BankAppDriver:146 - Before Withdrawing, Balance = 23.00
2018-05-149 15:05:376 INFO  BankAppDriver:152 - After Withdrawing, Balance = 22.00
2018-05-149 15:05:376 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-149 15:05:376 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accrafael.ser
2018-05-149 15:05:376 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-149 15:05:376 INFO  BankAppDriver:41 - balance: 22.00
2018-05-149 15:05:376 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 

2018-05-149 15:05:376 INFO  BankAppDriver:170 - End Withdraw() 

2018-05-149 15:05:376 INFO  BankAppDriver:175 - Begin Transfer(): 
2018-05-149 15:05:376 INFO  BankAppDriver:183 - Transfer Amount: 2.00
2018-05-149 15:05:376 INFO  BankAppDriver:187 - Transfer Into Account From Joint Account.
2018-05-149 15:05:376 INFO  BankAppDriver:132 - Begin Withdraw(): 
2018-05-149 15:05:376 INFO  BankAppDriver:136 - Withdraw Amount: 2.00
2018-05-149 15:05:392 INFO  BankAppDriver:170 - End Withdraw() 

2018-05-149 15:05:392 INFO  BankAppDriver:89 - Begin Deposit(): 
2018-05-149 15:05:392 INFO  BankAppDriver:93 - Deposit Amount: 2.00
2018-05-149 15:05:392 INFO  BankAppDriver:103 - Before Depositing, Balance = 22.00
2018-05-149 15:05:392 INFO  BankAppDriver:109 - After Depositing, Balance = 24.00
2018-05-149 15:05:329 INFO  BankAppDriver:23 - Begin Serialization - WriteAccount(): 
2018-05-149 15:05:329 INFO  BankAppDriver:32 - Serialized data will be written in bankcust/account/accrafael.ser
2018-05-149 15:05:329 INFO  BankAppDriver:40 - Check Variable of Type Double Written To .ser File - balance
2018-05-149 15:05:329 INFO  BankAppDriver:41 - balance: 24.00
2018-05-149 15:05:345 INFO  BankAppDriver:46 - End Serialization - WriteAccount() 

2018-05-149 15:05:345 INFO  BankAppDriver:128 - End Deposit() 

2018-05-149 15:05:345 INFO  BankAppDriver:199 - End Transfer() 

2018-05-149 15:05:345 INFO  BankAppDriver:58 - Begin Deserialization - View Balance(): 
2018-05-149 15:05:345 INFO  BankAppDriver:60 - Account reference is set to null. a = (custAcc = null) 
2018-05-149 15:05:345 INFO  BankAppDriver:69 - Check Variable of Type Double Read From .ser File - balance
2018-05-149 15:05:345 INFO  BankAppDriver:70 - balance: 24.00
2018-05-149 15:05:345 INFO  BankAppDriver:85 - End Deserialization - View Balance() 

